Date,Close
6/4/13,1444.93
6/5/13,1446.57
6/6/13,1453.04
6/7/13,1410.07
6/10/13,1413.05
6/11/13,1402.53
6/12/13,1420.93
6/13/13,1399.29
6/14/13,1410.86
6/17/13,1408.29
6/18/13,1395.49
6/19/13,1411.28
6/20/13,1335.86
6/21/13,1350.62
6/24/13,1340.75
6/25/13,1340.06
6/26/13,1287.4
6/27/13,1269.01
6/28/13,1287.4
7/1/13,1318.25
7/2/13,1311.12
7/3/13,1314.82
7/4/13,1310.75
7/5/13,1283.08
7/8/13,1303.74
7/9/13,1310.92
7/10/13,1305.36
7/11/13,1326.94
7/12/13,1328.14
7/15/13,1338.83
7/16/13,1338.59
7/17/13,1329.62
7/18/13,1332.99
7/19/13,1340.76
7/22/13,1381.29
7/23/13,1373.42
7/24/13,1361.64
7/25/13,1366.16
7/26/13,1358.93
7/29/13,1363.72
7/30/13,1364.39
7/31/13,1348.82
8/1/13,1356.44
8/2/13,1361.38
8/5/13,1349.56
8/6/13,1331.4
8/7/13,1340.53
8/8/13,1353.61
8/9/13,1350.86
8/12/13,1375.7
8/13/13,1366.57
8/14/13,1379.67
8/15/13,1403.13
8/16/13,1417.78
8/19/13,1413.41
8/20/13,1426.75
8/21/13,1435.63
8/22/13,1442
8/23/13,1464.84
8/26/13,1462.62
8/27/13,1488.01
8/28/13,1488.05
8/29/13,1488.05
8/30/13,1471.13
9/2/13,1469.68
9/3/13,1487.57
9/4/13,1458.6
9/5/13,1442.64
9/6/13,1442.83
9/9/13,1438.29
9/10/13,1411.67
9/11/13,1407.53
9/12/13,1373.25
9/13/13,1354.45
9/16/13,1360.62
9/17/13,1348.33
9/18/13,1336.54
9/19/13,1405.38
9/20/13,1373
9/23/13,1364.56
9/24/13,1355.58
9/25/13,1377.78
9/26/13,1364.68
9/27/13,1379.37
9/30/13,1367.67
10/1/13,1327.42
10/2/13,1364.96
10/3/13,1361.37
10/4/13,1348.4
10/7/13,1366.34
10/8/13,1372.94
10/9/13,1358.24
10/10/13,1348.24
10/11/13,1312.36
10/14/13,1321.74
10/15/13,1321.5
10/16/13,1323.97
10/17/13,1361.08
10/18/13,1351.99
10/21/13,1355.41
10/22/13,1380.75
10/23/13,1385.01
10/24/13,1407.04
10/25/13,1413.17
10/28/13,1412.01
10/29/13,1408.44
10/30/13,1413.6
10/31/13,1380.62
11/1/13,1368.38
11/4/13,1370.09
11/5/13,1367.34
11/6/13,1372.89
11/7/13,1368.48
11/8/13,1346.01
11/11/13,1341.92
11/12/13,1334.21
11/13/13,1325.98
11/14/13,1345.54
11/15/13,1343.88
11/18/13,1326.87
11/19/13,1333.26
11/20/13,1314.83
11/21/13,1307.85
11/22/13,1308.1
11/25/13,1308.63
11/26/13,1308.67
11/27/13,1311.51
11/28/13,1316.19
11/29/13,1327.46
12/2/13,1301.01
12/3/13,1300.79
12/4/13,1333.4
12/5/13,1313.87
12/6/13,1308.55
12/9/13,1312.89
12/10/13,1338.42
12/11/13,1332.73
12/12/13,1304.39
12/13/13,1308.03
12/16/13,1319.81
12/17/13,1305.9
12/18/13,1322.88
12/19/13,1274.39
12/20/13,1281.61
12/23/13,1270.97
12/24/13,1281.2
12/26/13,1292.83
12/27/13,1301.89
12/30/13,1280.98
12/31/13,1276.44
1/1/14,1283.02
1/2/14,1307.22
1/3/14,1317.03
1/6/14,1318.91
1/7/14,1323.5
1/8/14,1325.65
1/9/14,1332.57
1/10/14,1358.21
1/13/14,1358.79
1/14/14,1362.96
1/15/14,1354
1/16/14,1355.49
1/17/14,1372.03
1/20/14,1374.1
1/21/14,1362.32
1/22/14,1373.61
1/23/14,1401.64
1/24/14,1402.04
1/27/14,1404.62
1/28/14,1394.96
1/29/14,1410.12
1/30/14,1385.92
1/31/14,1380.19
2/3/14,1401.38
2/4/14,1387.39
2/5/14,1393.44
2/6/14,1392.07
2/7/14,1393.6
2/10/14,1409.4
2/11/14,1419.88
2/12/14,1424.97
2/13/14,1427.44
2/14/14,1448.18
2/17/14,1456.69
2/18/14,1450.14
2/19/14,1463.11
2/20/14,1461.66
2/21/14,1470.84
2/24/14,1479.77
2/25/14,1488.58
2/26/14,1477.91
2/27/14,1480.87
2/28/14,1462.21
3/3/14,1495.29
3/4/14,1483.81
3/5/14,1478.11
3/6/14,1484.9
3/7/14,1483.15
3/10/14,1490.11
3/11/14,1495.28
3/12/14,1523.91
3/13/14,1519.6
3/14/14,1531.37
3/17/14,1517.69
3/18/14,1513.36
3/19/14,1507.87
3/20/14,1495.62
3/21/14,1499.27
3/24/14,1467.49
3/25/14,1464.43
3/26/14,1447.1
3/27/14,1428.24
3/28/14,1431.04
3/31/14,1418.12
4/1/14,1410.49
4/2/14,1423.61
4/3/14,1417.35
4/4/14,1431.14
4/7/14,1424.65
4/8/14,1429.65
4/9/14,1420.1
4/10/14,1443.68
4/11/14,1448.17
4/14/14,1454.47
4/15/14,1427.16
4/16/14,1434.82
4/17/14,1423.04
4/21/14,1418.19
4/22/14,1412.06
4/23/14,1416.81
4/24/14,1422.35
4/25/14,1435.81
4/28/14,1432.72
4/29/14,1418.25
4/30/14,1420.15
5/1/14,1405.98
5/2/14,1429.39
5/5/14,1434.05
5/6/14,1425.16
5/7/14,1404.62
5/8/14,1394.35
5/9/14,1402.59
5/12/14,1411.64
5/13/14,1411.78
5/14/14,1421.71
5/15/14,1408.27
5/16/14,1404.23
5/19/14,1406.5
5/20/14,1412.28
5/21/14,1405.65
5/22/14,1410.26
5/23/14,1403
5/25/14,1403.11
5/26/14,1403.52
5/27/14,1373.49
5/28/14,1369.25
5/29/14,1361.4
5/30/14,1350.54
6/2/14,1355.68
6/3/14,1357.37
6/4/14,1360.75
6/5/14,1368.95
6/6/14,1369.31
6/9/14,1366.66
6/10/14,1373.38
6/11/14,1370.14
6/12/14,1382.24
6/13/14,1382.65
6/16/14,1382.6
6/17/14,1381.08
6/18/14,1378.85
6/19/14,1421.14
6/20/14,1416.03
6/23/14,1414.01
6/24/14,1419.56
6/25/14,1417.15
6/26/14,1406.84
6/27/14,1407.08
6/30/14,1573.94
7/1/14,1573.68
7/2/14,1583.62
7/3/14,1569.12
7/4/14,1407.88
7/7/14,1572.82
7/8/14,1571.17
7/9/14,1576.33
7/10/14,1591.97
7/11/14,1602.34
7/14/14,1564.59
7/15/14,1561.55
7/16/14,1562.73
7/17/14,1584.27
7/18/14,1571.74
7/21/14,1577.84
7/22/14,1569.42
7/23/14,1566.68
7/24/14,1555.4
7/25/14,1579.04
7/28/14,1578.32
7/29/14,1580.96
7/30/14,1587.55
7/31/14,1572.15
8/1/14,1584
